מילה	יחידה	מקור ההוכחה	רפרנס	הערה
יגון	1	ויקינתונים (CC0)	L65523
חדוה	1	ויקינתונים (CC0)	L490035
נחת	1	ויקינתונים (CC0)	L214421
מרת רוח	1	ספריא · נחלת הכלל	Netinah LaGer, Genesis 26:35:1 (Vilna, 1876 [he])
חמה	1	ויקינתונים (CC0)	L65298
טינה	1	ויקינתונים (CC0)	L211390
איבה	1	ויקינתונים (CC0)	L63863
תוכחה	1	ויקינתונים (CC0)	L220027
לקח	1	ויקינתונים (CC0)	L212509
בקיאות	1	ויקינתונים (CC0)	L205920
דכדוך	1	ויקינתונים (CC0)	L64710
חנפה	1	ויקינתונים (CC0)	L77881
גחמה	1	ויקינתונים (CC0)	L206164
סרק	1	ויקינתונים (CC0)	L215859
לשוא	1	ספריא · נחלת הכלל	Rashi on Temurah 3b:7:2 (Vilna Edition [he])
כפיות טובה	1	ספריא · נחלת הכלל	Chelkat Mechokek on Job 5:19:1 (Chelkat Mechokek, Warsaw 1876 [he])
משוא פנים	1	⚠ דרוש מקור	Ben Yehoyada on Yevamot 79a:2 (Senlake edition 2019 based on Ben Yehoyada, Jerusalem, 1897 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 2019 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Senlake edition 2019 based on Ben Yehoyada, Jerusalem, 1897 · הטענה הקודמת: ספריא · נחלת הכלל / Ben Yehoyada on Yevamot 79a:2 (Senlake edition 2019 based on Ben Yehoyada, Jerusalem, 1897 [he])
קלון	1	ויקינתונים (CC0)	L81644
תנוך	1	ויקינתונים (CC0)	L82519
עכור	1	ויקינתונים (CC0)	L216146
צלול	1	ויקינתונים (CC0)	L217613
קלוש	1	ויקינתונים (CC0)	L218247
פעוט	1	ויקינתונים (CC0)	L217063
נכר	1	ויקינתונים (CC0)	L79847
מבהק	1	ויקינתונים (CC0)	L212731
סמוי	1	ויקינתונים (CC0)	L215649
מערפל	1	ספריא · נחלת הכלל	Metzudat David on Job 38:9:1 (On Your Way [he])
עמום	1	ויקינתונים (CC0)	L216173
דו משמעי	1	ויקיטקסט · נחלת הכלל	צידה לדרך למועדי ישראל/כ
שומם	1	ויקינתונים (CC0)	L219328
תכוף	1	ויקינתונים (CC0)	L220212
שכיח	1	ויקינתונים (CC0)	L219630
אחיד	1	ויקינתונים (CC0)	L204650
חולף	1	ויקינתונים (CC0)	L210957
ארעי	1	ויקינתונים (CC0)	L205422
רעוע	1	ויקינתונים (CC0)	L219017
איתן	1	ויקינתונים (CC0)	L204897
חסין	1	ויקינתונים (CC0)	L211057
קהה	1	ויקינתונים (CC0)	L217807
תפל	1	ויקינתונים (CC0)	L220357
אפלולי	1	ויקינתונים (CC0)	L205240
סגלגל	1	ויקינתונים (CC0)	L215164
דחוק	1	ויקינתונים (CC0)	L206542
עגום	1	ויקינתונים (CC0)	L215902
משמים	1	ויקינתונים (CC0)	L213940
ערירי	1	ויקינתונים (CC0)	L216326
עלה בתהו	1	ספריא · נחלת הכלל	Malbim on Exodus 16:14:1 (Mikraei Kodesh, Vilna, 1891 [he])
אזלת יד	1	ויקינתונים (CC0)	L63834
אזן קשבת	1	ספריא · נחלת הכלל	Haamek Davar on Genesis 4:23:4 (Sefer Torat Elohim, Vilna 1879 [he])
